cohort_name,cohort_year,cohort_role,rank,company,ticker,market_cap,sector_or_industry,cohort_source_url,cohort_retrieved_at,edgarpack_input,cik,edgarpack_source,identity_notes
earlier_sp500_top20_1996,1996,primary,13,Walt Disney,DIS,47.08B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,DIS,,,
earlier_sp500_top20_1996,1996,primary,14,PepsiCo,PEP,45.63B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PEP,,,
earlier_sp500_top20_1996,1996,primary,15,Chevron,CVX,42.45B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,CVX,,,
earlier_sp500_top20_1996,1996,primary,16,AIG,AIG,42.15B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AIG,,,
earlier_sp500_top20_1996,1996,primary,17,Cisco Systems,CSCO,41.72B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,CSCO,,,
earlier_sp500_top20_1996,1996,primary,18,Eli Lilly,LLY,40.37B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,LLY,,,
earlier_sp500_top20_1996,1996,primary,19,Fannie Mae,FNMA,39.76B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,FNMA,,,
earlier_sp500_top20_1996,1996,primary,20,JPMorgan Chase,JPM,38.49B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,JPM,,,
current_sp500_top20_2026,2026,primary,1,NVIDIA,NVDA,5.264T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,NVDA,,,
current_sp500_top20_2026,2026,primary,2,Alphabet,GOOGL,4.238T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,GOOGL,,,
current_sp500_top20_2026,2026,primary,3,Apple,AAPL,3.929T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AAPL,,,
current_sp500_top20_2026,2026,primary,4,Microsoft,MSFT,3.155T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MSFT,,,
current_sp500_top20_2026,2026,primary,5,Amazon,AMZN,2.803T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AMZN,,,
current_sp500_top20_2026,2026,primary,6,Broadcom,AVGO,1.980T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AVGO,,,
current_sp500_top20_2026,2026,primary,7,Meta Platforms,META,1.717T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,META,,,
current_sp500_top20_2026,2026,primary,8,Tesla,TSLA,1.422T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,TSLA,,,
current_sp500_top20_2026,2026,primary,9,Berkshire Hathaway,BRK.B,1.020T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,BRK.B,,,
current_sp500_top20_2026,2026,primary,10,Walmart,WMT,1.017T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,WMT,,,
current_sp500_top20_2026,2026,primary,11,JPMorgan Chase,JPM,835.01B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,JPM,,,
current_sp500_top20_2026,2026,primary,12,Eli Lilly,LLY,775.68B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,LLY,,,
current_sp500_top20_2026,2026,primary,13,Exxon Mobil,XOM,617.47B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,XOM,,,
current_sp500_top20_2026,2026,primary,14,Visa,V,595.53B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,V,,,
current_sp500_top20_2026,2026,primary,15,Micron Technology,MU,591.56B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MU,,,
current_sp500_top20_2026,2026,primary,16,Advanced Micro Devices,AMD,545.56B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AMD,,,
current_sp500_top20_2026,2026,primary,17,Johnson & Johnson,JNJ,542.44B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,JNJ,,,
current_sp500_top20_2026,2026,primary,18,Oracle,ORCL,497.44B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,ORCL,,,
current_sp500_top20_2026,2026,primary,19,Mastercard,MA,451.64B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MA,,,
current_sp500_top20_2026,2026,primary,20,Costco Wholesale,COST,442.77B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,COST,,,
context_sp500_top20_1989,1989,context,1,Exxon Mobil,XOM,62.59B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,XOM,,,
context_sp500_top20_1989,1989,context,2,IBM,IBM,52.03B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,IBM,,,
context_sp500_top20_1989,1989,context,3,General Electric,GE,35.78B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,GE,,,
context_sp500_top20_1989,1989,context,4,Bristol-Myers Squibb,BMY,28.00B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,BMY,,,
context_sp500_top20_1989,1989,context,5,Merck,MRK,27.58B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MRK,,,
context_sp500_top20_1989,1989,context,6,Coca-Cola,KO,26.37B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,KO,,,
context_sp500_top20_1989,1989,context,7,Walmart,WMT,25.39B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,WMT,,,
context_sp500_top20_1989,1989,context,8,Procter & Gamble,PG,22.99B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PG,,,
context_sp500_top20_1989,1989,context,9,Verizon Communications,VZ,21.99B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,VZ,,,
context_sp500_top20_1989,1989,context,10,Johnson & Johnson,JNJ,19.77B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,JNJ,,,
context_sp500_top20_1989,1989,context,11,Eli Lilly,LLY,19.06B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,LLY,,,
context_sp500_top20_1989,1989,context,12,PepsiCo,PEP,16.86B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PEP,,,
context_sp500_top20_1989,1989,context,13,Walt Disney,DIS,15.17B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,DIS,,,
context_sp500_top20_1989,1989,context,14,AT&T,T,14.37B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,T,,,
context_sp500_top20_1989,1989,context,15,3M,MMM,14.36B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MMM,,,
context_sp500_top20_1989,1989,context,16,AIG,AIG,14.01B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AIG,,,
context_sp500_top20_1989,1989,context,17,Boeing,BA,13.68B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,BA,,,
context_sp500_top20_1989,1989,context,18,McDonald's,MCD,12.77B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MCD,,,
context_sp500_top20_1989,1989,context,19,Pfizer,PFE,10.90B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PFE,,,
context_sp500_top20_1989,1989,context,20,Schlumberger,SLB,10.37B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,SLB,,,
