company,ticker,cohort_name,cohort_year,assigned_archetype,control_rationale,governance_rationale,operating_rationale,capital_allocation_rationale,kpi_rationale,evidence_row_refs,confidence,notes
Walt Disney,DIS,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Control evidence shows Roy Disney at 1.1 percent and no known holder above 5 percent,Governance evidence shows single-class common and a classified staggered board,Operating evidence shows media and entertainment revenue with R&D not meaningful,Capital evidence shows repurchases cash securities and acquisition-era debt,KPI evidence centers on Creative Content segment revenues,control:DIS:1996; governance:DIS:1996; operating:DIS:1996; capital:DIS:1996; kpi:DIS:1996,high,Founder-family board presence is not control in the table evidence
PepsiCo,PEP,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Control evidence shows no beneficial owner above 5 percent and officers and directors below 1 percent,Governance evidence shows capital stock with one vote and annual director elections,Operating evidence shows large consumer and restaurant revenue with major employee scale,Capital evidence shows dividends repurchases cash securities and debt,KPI evidence centers on Pizza Hut system unit count,control:PEP:1996; governance:PEP:1996; operating:PEP:1996; capital:PEP:1996; kpi:PEP:1996,high,
Chevron,CVX,earlier_sp500_top20_1996,1996,manager_controlled_old_line_incumbent,Control evidence shows all directors and officers below 1 percent with no control block,Governance evidence shows single-class common and annual director elections,Operating evidence shows integrated energy revenue production capex and employees,Capital evidence shows dividends cash securities and debt,KPI evidence centers on liquids and natural-gas production,control:CVX:1996; governance:CVX:1996; operating:CVX:1996; capital:CVX:1996; kpi:CVX:1996,high,
AIG,AIG,earlier_sp500_top20_1996,1996,professional_manager_financial_or_services,Control evidence shows executive-linked Starr and SICO parent-company ownership networks rather than founder-family control,Governance evidence shows one vote per common share annual director elections and audit committee disclosure,Operating evidence is insurance-oriented with revenue not disclosed in the selected row and cash-heavy financial-company fields,Capital evidence shows dividends repurchases and large cash balances,KPI evidence centers on general-insurance gross premiums written,control:AIG:1996; governance:AIG:1996; operating:AIG:1996; capital:AIG:1996; kpi:AIG:1996,medium,Classified as financial or services because the evidence points to insurance control architecture
Cisco Systems,CSCO,earlier_sp500_top20_1996,1996,founder_origin_institutional_tech,Control evidence shows no 5 percent shareholders and Morgridge at 1.55 percent rather than founder voting control,Governance evidence shows one-vote common stock and annual director elections,Operating evidence shows network-equipment revenue with international sales exposure,Capital evidence shows repurchases cash securities and no debt,KPI evidence centers on international customer sales share,control:CSCO:1996; governance:CSCO:1996; operating:CSCO:1996; capital:CSCO:1996; kpi:CSCO:1996,medium,Founder-origin tech classification rests on low-insider dispersed control evidence
Eli Lilly,LLY,earlier_sp500_top20_1996,1996,predecessor_founder_continuity,Control evidence shows Lilly Endowment at 16.959 percent while management ownership was minimal,Governance evidence shows single-class common and a classified staggered board,Operating evidence shows pharma revenue capex and employee scale,Capital evidence shows cash securities and debt while cash-return fields are not fully disclosed,KPI evidence centers on Prozac sales,control:LLY:1996; governance:LLY:1996; operating:LLY:1996; capital:LLY:1996; kpi:LLY:1996,medium,Endowment block supports continuity but not founder-family management control
Fannie Mae,FNMA,earlier_sp500_top20_1996,1996,unresolved,No SEC-backed ownership or control filing was located for the cohort period,Governance fields remain unresolved because no 1995-1997 SEC governance filing was located,Operating evidence is unresolved from the selected annual filing lane,Capital evidence is unresolved or not meaningful in the selected filing lane,KPI evidence is not validated from a primary annual filing,control:FNMA:1996; governance:FNMA:1996; operating:FNMA:1996; capital:FNMA:1996; kpi:FNMA:1996,low,No archetype assigned beyond unresolved because primary evidence is unavailable
JPMorgan Chase,JPM,earlier_sp500_top20_1996,1996,professional_manager_financial_or_services,Control evidence shows post-merger management holdings below 1 percent,Governance evidence shows one-vote common stock annual board elections and outside committee signals,Operating evidence is bank-oriented with revenue not disclosed and operating fields not meaningful,Capital evidence shows financial-company cash fields with debt not disclosed,KPI evidence centers on loan balances,control:JPM:1996; governance:JPM:1996; operating:JPM:1996; capital:JPM:1996; kpi:JPM:1996,high,
NVIDIA,NVDA,current_sp500_top20_2026,2026,founder_led_not_founder_controlled,Huang is founder president CEO and director with 3.77 percent current ownership plus IPO founder evidence at 12.8 percent,Governance evidence shows single-class common proxy access declassified board and majority voting,Operating evidence shows AI-compute scale with high revenue operating income R&D and employee disclosure,Capital evidence shows dividends repurchases cash securities debt and buyback scale,KPI evidence centers on Compute and Networking segment revenue,control:NVDA:2026; governance:NVDA:2026; operating:NVDA:2026; capital:NVDA:2026; kpi:NVDA:2026,high,IPO control row supports founder-led continuity but current evidence is not founder voting control
Alphabet,GOOGL,current_sp500_top20_2026,2026,founder_controlled_platform,Control evidence shows Page and Brin with majority combined voting power through ten-vote Class B shares,Governance evidence shows multi-class stock including nonvoting Class C and annual director elections,Operating evidence shows large services and cloud revenue with high R&D and capex,Capital evidence shows dividends repurchases cash securities and debt,KPI evidence centers on Google Cloud and Google Services revenue,control:GOOGL:2026; governance:GOOGL:2026; operating:GOOGL:2026; capital:GOOGL:2026; kpi:GOOGL:2026,high,Current and IPO control rows both support founder-voting architecture
Apple,AAPL,current_sp500_top20_2026,2026,founder_origin_institutional_tech,Control evidence shows institutional holders above 5 percent and no founder ownership in the reviewed table,Governance evidence shows single-class one-share one-vote stock proxy access and annual director elections,Operating evidence shows scaled product and services revenue with R&D and capex,Capital evidence shows large dividends repurchases cash securities and debt,KPI evidence centers on iPhone net sales,control:AAPL:2026; governance:AAPL:2026; operating:AAPL:2026; capital:AAPL:2026; kpi:AAPL:2026,high,
Microsoft,MSFT,current_sp500_top20_2026,2026,founder_origin_institutional_tech,Control evidence shows current institutional holders above 5 percent and Nadella below 1 percent,Governance evidence shows single-class one-vote shares annual unclassified board and proxy access,Operating evidence shows scaled software and cloud revenue with R&D capex and employees,Capital evidence shows dividends repurchases cash securities and debt,KPI evidence centers on Intelligent Cloud revenue,control:MSFT:2026; governance:MSFT:2026; operating:MSFT:2026; capital:MSFT:2026; kpi:MSFT:2026,high,Founder-origin company now reads as institutional single-class control
Amazon,AMZN,current_sp500_top20_2026,2026,founder_led_not_founder_controlled,Bezos is founder and Executive Chair with 8.8 percent ownership under single-class stock,Governance evidence shows one-share one-vote stock declassified board majority voting and proxy access,Operating evidence shows large commerce cloud and logistics scale with AWS segment disclosure,Capital evidence shows no dividends no repurchases cash securities and debt,KPI evidence centers on AWS net sales,control:AMZN:2026; governance:AMZN:2026; operating:AMZN:2026; capital:AMZN:2026; kpi:AMZN:2026,high,
Broadcom,AVGO,current_sp500_top20_2026,2026,predecessor_founder_continuity,Samueli is identified as co-founder and current chairman with 1.8 percent ownership,Governance evidence shows single-class one-vote stock proxy access annual elections and no poison pill,Operating evidence shows semiconductor and infrastructure software revenue with R&D,Capital evidence shows dividends repurchases cash and high debt,KPI evidence centers on semiconductor-solutions net revenue,control:AVGO:2026; governance:AVGO:2026; operating:AVGO:2026; capital:AVGO:2026; kpi:AVGO:2026,medium,Continuity is chair and predecessor-founder presence rather than voting control
Meta Platforms,META,current_sp500_top20_2026,2026,founder_controlled_platform,Zuckerberg is founder chair CEO and controlling shareholder with 60.8 percent voting power,Governance evidence shows Class A one-vote and Class B ten-vote shares with annual director terms,Operating evidence shows Family of Apps scale plus Reality Labs with high R&D and capex,Capital evidence shows dividends repurchases cash securities and debt,KPI evidence centers on Family daily active people,control:META:2026; governance:META:2026; operating:META:2026; capital:META:2026; kpi:META:2026,high,IPO and current control rows both support founder voting control
Tesla,TSLA,current_sp500_top20_2026,2026,founder_led_not_founder_controlled,Musk is described as CEO founder and largest shareholder with 19.8 percent beneficial ownership plus controlling-stockholder litigation context,Governance evidence shows single-class common but a classified board and control-related shareholder proposals,Operating evidence shows automotive and energy revenue with R&D and capex,Capital evidence shows cash and securities with dividends not meaningful,KPI evidence centers on vehicle deliveries and energy-storage deployments,control:TSLA:2026; governance:TSLA:2026; operating:TSLA:2026; capital:TSLA:2026; kpi:TSLA:2026,medium,Founder/operator influence is strong but table evidence does not show dual-class or majority voting control
Berkshire Hathaway,BRK.B,current_sp500_top20_2026,2026,manager_controlled_old_line_incumbent,Buffett is largest shareholder with about 30 percent voting power and a possible controlling-shareholder signal but is not founder or family control,Governance evidence shows Class A and Class B voting structure with annual plurality elections,Operating evidence shows diversified insurance railroad utilities manufacturing service and retail mix,Capital evidence shows cash securities and capex with dividends not meaningful,KPI evidence centers on BNSF freight cars or units,control:BRK.B:2026; governance:BRK.B:2026; operating:BRK.B:2026; capital:BRK.B:2026; kpi:BRK.B:2026,medium,Allowed archetypes lack a non-founder operator-control bucket; classified as old-line incumbent with explicit Buffett-control caveat
Walmart,WMT,current_sp500_top20_2026,2026,founder_or_family_controlled_non_tech,Walton Enterprises and Walton Family Holdings Trust are greater-than-5 percent holders with 44.11 percent voting ownership,Governance evidence shows common-share voting annual director elections proxy access and no poison pill,Operating evidence shows very large retail revenue and segment breadth,Capital evidence shows dividends repurchases cash and debt,KPI evidence centers on Walmart U.S. Supercenter count,control:WMT:2026; governance:WMT:2026; operating:WMT:2026; capital:WMT:2026; kpi:WMT:2026,high,
JPMorgan Chase,JPM,current_sp500_top20_2026,2026,professional_manager_financial_or_services,Control evidence shows Dimon and each director nominee or NEO below 1 percent,Governance evidence shows annual majority-vote elections proxy access independent committees and no poison pill,Operating evidence is bank-oriented with operating fields not meaningful and large net income,Capital evidence shows dividends repurchases cash securities and debt,KPI evidence centers on cards in force,control:JPM:2026; governance:JPM:2026; operating:JPM:2026; capital:JPM:2026; kpi:JPM:2026,high,
Eli Lilly,LLY,current_sp500_top20_2026,2026,predecessor_founder_continuity,Lilly Endowment held 9.8 percent with sole voting and dispositive power while the table did not show a control block,Governance evidence shows single-class common and a classified board with declassification proposal,Operating evidence shows pharma revenue R&D capex and product concentration,Capital evidence shows dividends repurchases cash and debt,KPI evidence centers on Mounjaro net product revenue,control:LLY:2026; governance:LLY:2026; operating:LLY:2026; capital:LLY:2026; kpi:LLY:2026,medium,Continuity is through the Endowment stake rather than management control
Exxon Mobil,XOM,current_sp500_top20_2026,2026,manager_controlled_old_line_incumbent,Control evidence lists only institutional holders above 5 percent with no founder family or controller block,Governance evidence shows common-share voting independent committees annual elections and auditor disclosure,Operating evidence shows integrated energy revenue production R&D and capex,Capital evidence shows dividends repurchases cash and debt,KPI evidence centers on oil-equivalent production,control:XOM:2026; governance:XOM:2026; operating:XOM:2026; capital:XOM:2026; kpi:XOM:2026,high,
Visa,V,current_sp500_top20_2026,2026,professional_manager_financial_or_services,Control evidence shows directors and officers below 1 percent and institutional principal holders,Governance evidence shows Class A voting annual director elections proxy access special-meeting rights and independent committees,Operating evidence shows payment-network revenue operating income and capex with R&D not meaningful,Capital evidence shows dividends repurchases cash securities and debt,KPI evidence centers on processed transactions,control:V:2026; governance:V:2026; operating:V:2026; capital:V:2026; kpi:V:2026,high,
Micron Technology,MU,current_sp500_top20_2026,2026,founder_origin_institutional_tech,Control evidence shows institutional 5 percent holders and directors or officers below 1 percent,Governance evidence shows common-stock voting annual elections proxy access and independent committees,Operating evidence shows memory revenue operating income R&D and heavy capex,Capital evidence shows dividends no repurchases cash and debt,KPI evidence centers on Cloud Memory Business Unit revenue,control:MU:2026; governance:MU:2026; operating:MU:2026; capital:MU:2026; kpi:MU:2026,high,Founder-origin semiconductor company now has institutional control evidence
Advanced Micro Devices,AMD,current_sp500_top20_2026,2026,founder_origin_institutional_tech,Control evidence shows Vanguard and BlackRock above 5 percent while CEO and directors or officers are below 1 percent,Governance evidence shows one-vote common stock proxy access annual elections and audit-committee independence,Operating evidence shows data-center-led revenue with R&D and capex,Capital evidence shows repurchases cash securities and debt,KPI evidence centers on Data Center net revenue,control:AMD:2026; governance:AMD:2026; operating:AMD:2026; capital:AMD:2026; kpi:AMD:2026,high,
Johnson & Johnson,JNJ,current_sp500_top20_2026,2026,manager_controlled_old_line_incumbent,Control evidence shows directors and officers below 1 percent and only institutional 5 percent holders,Governance evidence shows single-class common annual director elections proxy access and no poison pill,Operating evidence shows healthcare revenue R&D capex employees and segment mix,Capital evidence shows dividends repurchases cash securities and debt,KPI evidence centers on Innovative Medicine segment sales,control:JNJ:2026; governance:JNJ:2026; operating:JNJ:2026; capital:JNJ:2026; kpi:JNJ:2026,high,
Oracle,ORCL,current_sp500_top20_2026,2026,founder_led_not_founder_controlled,Ellison is founder Executive Chair CTO and largest stockholder with 40.6 percent under single-class voting stock,Governance evidence shows single-class one-share one-vote stock annual elections and independent committees,Operating evidence shows cloud and license revenue with R&D and capex,Capital evidence shows dividends repurchases cash and high debt,KPI evidence centers on cloud and license revenues,control:ORCL:2026; governance:ORCL:2026; operating:ORCL:2026; capital:ORCL:2026; kpi:ORCL:2026,medium,Large founder stake is not reported as majority voting control in the table evidence
Mastercard,MA,current_sp500_top20_2026,2026,professional_manager_financial_or_services,Control evidence shows Class A voting stock with institutional and foundation 5 percent holders and no founder control block,Governance evidence shows voting Class A non-voting Class B annual elections proxy access and independent committees,Operating evidence shows payment-network revenue operating income and capex with R&D not meaningful,Capital evidence shows dividends repurchases cash securities and debt,KPI evidence centers on switched transactions,control:MA:2026; governance:MA:2026; operating:MA:2026; capital:MA:2026; kpi:MA:2026,high,
Costco Wholesale,COST,current_sp500_top20_2026,2026,manager_controlled_old_line_incumbent,Control evidence lists only Vanguard and BlackRock above 5 percent,Governance evidence shows one-vote common stock annual director elections proxy access and independent oversight signals,Operating evidence shows large retail revenue employee scale and international segments,Capital evidence shows dividends repurchases cash securities and debt,KPI evidence centers on worldwide warehouse count,control:COST:2026; governance:COST:2026; operating:COST:2026; capital:COST:2026; kpi:COST:2026,high,
