company,ticker,cohort_name,cohort_year,filing_form,filing_date,accession,dividends,share_repurchases,cash_and_equivalents,marketable_securities,total_debt,major_acquisition_signal,capital_allocation_summary,evidence_chunk_ids,evidence_excerpt,confidence,notes
JPMorgan Chase,JPM,earlier_sp500_top20_1996,1996,10-K,1997-03-25,0000950123-97-002412,not_disclosed,not_disclosed,"14,605",not_meaningful,not_disclosed,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,raw:JPM-1996:L11303-L11303,"Selected annual evidence supports dividends not_disclosed, repurchases not_disclosed, cash 14,605, securities not_meaningful, debt not_disclosed.",low,Bank annual FDS extraction did not expose comparable revenue/debt tags; row kept conservative.
NVIDIA,NVDA,current_sp500_top20_2026,2026,10-K,2026-02-25,0001045810-26-000021,974,40086,10605,39520,8468,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,76db4f64fb7c0f8c; 8e43a2ddda32c7ed; 924de81c8bd11bdd; faca9441d16bf926; 39b1f9aa9c8117b1; bf185bec4d719178; a5526e193eec418a; 8b8fce035b2486ff,"Selected annual filing evidence supports dividends 974, repurchases 40086, cash 10605, securities 39520, debt 8468.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Alphabet,GOOGL,current_sp500_top20_2026,2026,10-K,2026-02-05,0001652044-26-000018,10049,45709,30708,96135,48543,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,2944603f9d6253ce; 299663073aeeae1c; 754218e0c456f4e1; 473595af56bb1539; e49cc0f92b0ae047; 4b5b38649ce5a51b; 28ecb9150d2ddc43,"Selected annual filing evidence supports dividends 10049, repurchases 45709, cash 30708, securities 96135, debt 48543.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Apple,AAPL,current_sp500_top20_2026,2026,10-K,2025-10-31,0000320193-25-000079,15421,90711,35934,96486,90678,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,fa7828d9fce42172; ec069b7dcbf393a0; aabda7a3b9a62566; d3ff229b5d585614; a97865e42febd616; 2b17a1ff06db7259,"Selected annual filing evidence supports dividends 15421, repurchases 90711, cash 35934, securities 96486, debt 90678.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Microsoft,MSFT,current_sp500_top20_2026,2026,10-K,2025-07-30,0000950170-25-100235,24082,18420,30242,64323,43151,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,8f5a9a653fd87359; effcee5a391032d3; d5335e6b9eb843f8; c971209182c2ecee; a5a8c70fd6b1b549; 54abdab03827b1a6,"Selected annual filing evidence supports dividends 24082, repurchases 18420, cash 30242, securities 64323, debt 43151.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Amazon,AMZN,current_sp500_top20_2026,2026,10-K,2026-02-06,0001018724-26-000004,not_meaningful,0,86810,36219,68851,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,3912c859e32d4efc; ed3bd5a069aef122; a7ca4c3305e5c3c5; 2fbda36a60bf792b; f355ec6f4bf39ada; ed6c560457d7bf0e; ed5d3fdf9f0f11ad,"Selected annual filing evidence supports dividends not_meaningful, repurchases 0, cash 86810, securities 36219, debt 68851.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Broadcom,AVGO,current_sp500_top20_2026,2026,10-K,2025-12-18,0001730168-25-000121,11142,2450,16178,not_disclosed,67120,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,4f47760ca73e32bb; 4645d17e6a4723d9; d23b6bd8ee80da71; f2d3578a8f7b545c; 437e48a795364216; ef0cf4f47de422d5; 5e54ca8a1c9230ab,"Selected annual filing evidence supports dividends 11142, repurchases 2450, cash 16178, securities not_disclosed, debt 67120.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Meta Platforms,META,current_sp500_top20_2026,2026,10-K,2026-01-29,0001628280-26-003942,5324,26248,35873,45719,58744,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,73f51c843cd4097e; 1b4862134809d2ae; 88f5824f9e70b2ca; 1a3f6b42414fe151; 0794a59022e28193; b16af89d9dc2056d; a7e9d121c33196b9,"Selected annual filing evidence supports dividends 5324, repurchases 26248, cash 35873, securities 45719, debt 58744.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Tesla,TSLA,current_sp500_top20_2026,2026,10-K,2026-01-29,0001628280-26-003952,not_meaningful,not_disclosed,16513,27546,not_disclosed,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,2bdeaf78d75e4dd5; efdbe9003d9ead54; 58a74a803da5cc84; e103ba154ea0ec46; 89edbe814c8e75bb; b74df017db8fe4df; 15bb2afdebb9a883,"Selected annual filing evidence supports dividends not_meaningful, repurchases not_disclosed, cash 16513, securities 27546, debt not_disclosed.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Berkshire Hathaway,BRK.B,current_sp500_top20_2026,2026,10-K,2026-03-02,0001193125-26-083899,not_meaningful,not_disclosed,52569,17816,not_disclosed,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,2958c0e07eacaaa1; 8b481b70a1e2f5e7; ff841ce180860516; f9cf09ce941cf714; b0d0cda15f40f436; 2c76396045287c9b; 2c43ba957696b78b,"Selected annual filing evidence supports dividends not_meaningful, repurchases not_disclosed, cash 52569, securities 17816, debt not_disclosed.",low,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Walmart,WMT,current_sp500_top20_2026,2026,10-K,2026-03-13,0000104169-26-000055,7507,8088,10727,not_disclosed,44762,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,8643ff20c037d17e; 74d3d427af9a5321; d5dac99b25c812b4; 66fbfbd58b56f0b7; f50e97c42ff582ad; c89277bb772d917e; b6581f912d2bc286,"Selected annual filing evidence supports dividends 7507, repurchases 8088, cash 10727, securities not_disclosed, debt 44762.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
JPMorgan Chase,JPM,current_sp500_top20_2026,2026,10-K,2026-02-13,0001628280-26-008131,16625,31591,343338,507198,435206,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,d0e7aadfe0820527; c9f7823e98a90319; b459d587630fcda2; a0ee3c4810d5fa6b; e39afd2d839e907b; e076b80ece4bb745; d0f3f7fedc7a80c0; ce98e675e286107a,"Selected annual filing evidence supports dividends 16625, repurchases 31591, cash 343338, securities 507198, debt 435206.",low,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Eli Lilly,LLY,current_sp500_top20_2026,2026,10-K,2026-02-12,0000059478-26-000013,5384,4108,7268,not_disclosed,42503,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,cc99294f464388fa; 9f933cf8a3152410; 03d7de98f092489a; d2dcbe679f4a6786; caaf18b97fb567f8; 54613c492c278088; 354c5c323cd67894,"Selected annual filing evidence supports dividends 5384, repurchases 4108, cash 7268, securities not_disclosed, debt 42503.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Exxon Mobil,XOM,current_sp500_top20_2026,2026,10-K,2026-02-18,0000034088-26-000045,17231,20273,10681,not_disclosed,43537,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,d69376907ed8777a; fcdf22cb91490105; 4d7e05b0a8854ea0; bbfae7d656389d51; 7d2b846d92770f2c; 303f86d6f5e6e69e,"Selected annual filing evidence supports dividends 17231, repurchases 20273, cash 10681, securities not_disclosed, debt 43537.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Visa,V,current_sp500_top20_2026,2026,10-K,2025-11-06,0001403161-25-000089,4634,18316,17164,2421,25171,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,ecad61173b7d4527; 69abefc6acca05b1; 605be01d59209a5d; f5b0898e17ab9233; f2cad518558773d8; a62fbef9da30d6e7; 90358ae04e7fecb5,"Selected annual filing evidence supports dividends 4634, repurchases 18316, cash 17164, securities 2421, debt 25171.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Micron Technology,MU,current_sp500_top20_2026,2026,10-K,2025-10-03,0000723125-25-000028,522,0,9642,not_disclosed,14577,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,386867fcdf159431; e0edc2ae5ba05323; 0986712ab1f8f432; e5909c2d4033241f; c118a85588fd0e23; f918671101580e44; 7ac6ccdfd6fb7580,"Selected annual filing evidence supports dividends 522, repurchases 0, cash 9642, securities not_disclosed, debt 14577.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Advanced Micro Devices,AMD,current_sp500_top20_2026,2026,10-K,2026-02-04,0000002488-26-000018,not_disclosed,1316,5539,5013,3222,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,34939d242a49c7a2; b794e110d9b3769a; 49f10deba779caad; ed2ab5f61012ad5e; 9782eb07c32d800d; 93dceb769101d7a3; 7a6ac3f5adf53288,"Selected annual filing evidence supports dividends not_disclosed, repurchases 1316, cash 5539, securities 5013, debt 3222.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Johnson & Johnson,JNJ,current_sp500_top20_2026,2026,10-K,2026-02-11,0000200406-26-000016,12381,5953,19709,393,49933,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,cada017cefbc5fa1; ddf0b35bfe20f720; 90a70f54551b403d; c721fe4f988f1aaf; 6c5c1c2981f844ae; d606985e75bb6d8e; bbdd84f417a18f4a,"Selected annual filing evidence supports dividends 12381, repurchases 5953, cash 19709, securities 393, debt 49933.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Oracle,ORCL,current_sp500_top20_2026,2026,10-K,2025-06-18,0000950170-25-087926,4743,600,10786,not_disclosed,92568,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,f3ede522013cf9e5; 8ce3c6c1a3073dd1; 594fd9c9d7012424; 6d294f8168650a47; 86bfef1f6307b5d6; 776323fa5993ed47; 8e8c229c0615af41,"Selected annual filing evidence supports dividends 4743, repurchases 600, cash 10786, securities not_disclosed, debt 92568.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Mastercard,MA,current_sp500_top20_2026,2026,10-K,2026-02-11,0001141391-26-000013,2756,11727,10566,319,19000,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,c6ab47a3be08dc78; e0e0ef75933df8ad; 2ceef30bdbfe9d2b; c64b8a18557b8889; ab48bd971c896ea8; 98d8762afcdafcfc; 58306ad3ce1755c7; 01e8bfef31bbdd32,"Selected annual filing evidence supports dividends 2756, repurchases 11727, cash 10566, securities 319, debt 19000.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
Costco Wholesale,COST,current_sp500_top20_2026,2026,10-K,2025-10-08,0000909832-25-000101,2183,903,14161,1123,5788,not_disclosed,Cash/securities/debt and cash-return fields extracted where directly supported; conservative not_disclosed values retained otherwise.,a0e37c097fccca33; 498b96b34c471de9; 58d394300bbcfca4; d4e8abe9fab8bb05; 6623223a9e1f9414; 396beddf2b2137dd,"Selected annual filing evidence supports dividends 2183, repurchases 903, cash 14161, securities 1123, debt 5788.",medium,"Standard capital-allocation fields normalized from the selected annual XBRL sidecar; cited chunks include source balance sheet, cash-flow, or MD&A tables. Fields remain not_disclosed only when no unambiguous standard fact was extracted."
