company,ticker,cohort_name,cohort_year,filing_form,filing_date,accession,kpi_name,kpi_value,kpi_unit,kpi_section,kpi_category,evidence_chunk_ids,evidence_excerpt,confidence,notes
Cisco Systems,CSCO,earlier_sp500_top20_1996,1996,10-K,1996-10-25,0000950149-96-001640,international customer sales share,48.2,percent of net sales,Management discussion - sales channels and regions,segment_metric,raw:CSCO-1996:L1251-L1269,Cisco states international customers accounted for 48.2% of net sales in fiscal 1996.,medium,Recurring geographic/customer sales metric; raw SEC anchor used because the old annual pack renders poorly.
Eli Lilly,LLY,earlier_sp500_top20_1996,1996,10-K,1996-03-25,0000059478-96-000001,Prozac sales,2.1,USD billions approximate,Management discussion - pharmaceutical sales,segment_metric,raw:LLY-1996:L2473-L2484,"Lilly reports pharmaceutical sales of about $6.3 billion, led by Prozac sales of approximately $2.1 billion.",high,Product sales are presented in recurring pharmaceutical sales discussion.
Fannie Mae,FNMA,earlier_sp500_top20_1996,1996,availability_exception,no-1995-1997-sec-annual,no-1995-1997-sec-annual,none_disclosed,not_disclosed,not_disclosed,Selected annual filing availability,none_disclosed,availability_exception:FNMA-1996:no-sec-annual-filing,"No selected 1995-1997 SEC annual filing is available from Task 4, so KPI disclosure cannot be validated from a primary annual filing.",low,Availability exception carried forward from Task 4.
JPMorgan Chase,JPM,earlier_sp500_top20_1996,1996,10-K,1997-03-25,0000950123-97-002412,loans,"155,092",USD millions,Financial data schedule,financial_services_metric,raw:JPM-1996:L11291-L11310,"The Chase Manhattan financial data schedule reports loans of $155,092 million.",medium,Financial services balance-sheet KPI from the selected annual raw filing.
NVIDIA,NVDA,current_sp500_top20_2026,2026,10-K,2026-02-25,0001045810-26-000021,Compute & Networking segment revenue,"130,141",USD millions,Segment results,segment_metric,76db4f64fb7c0f8c,"NVIDIA segment results report Compute & Networking revenue of $130,141 million and Graphics revenue of $9,156 million.",high,Chunk-backed evidence from selected annual 10-K.
Alphabet,GOOGL,current_sp500_top20_2026,2026,10-K,2026-02-05,0001652044-26-000018,Google Cloud revenues,"58,705",USD millions,Segment revenues,segment_metric,7c2c95e2c66d9aac,"Alphabet segment revenues include Google Services at $342,721 million and Google Cloud at $58,705 million.",high,Chunk-backed evidence from selected annual 10-K.
Apple,AAPL,current_sp500_top20_2026,2026,10-K,2025-10-31,0000320193-25-000079,iPhone net sales,"209,586",USD millions,Products net sales,segment_metric,67e42a2107c11ccd,"Apple product net sales list iPhone at $209,586 million.",high,Chunk-backed evidence from selected annual 10-K.
Microsoft,MSFT,current_sp500_top20_2026,2026,10-K,2025-07-30,0000950170-25-100235,Intelligent Cloud revenue,"106,265",USD millions,Segment results,segment_metric,12d2b6ebe61c3703,"Microsoft segment results show Intelligent Cloud revenue of $106,265 million.",high,Chunk-backed evidence from selected annual 10-K.
Amazon,AMZN,current_sp500_top20_2026,2026,10-K,2026-02-06,0001018724-26-000004,AWS net sales,"128,725",USD millions,Segment net sales,segment_metric,ed6c560457d7bf0e,"Amazon segment net sales show AWS at $128,725 million.",high,Chunk-backed evidence from selected annual 10-K.
Broadcom,AVGO,current_sp500_top20_2026,2026,10-K,2025-12-18,0001730168-25-000121,Semiconductor solutions net revenue,"36,858",USD millions,Segment net revenue,segment_metric,5c5ad1014756413d,"Broadcom segment net revenue lists semiconductor solutions at $36,858 million and infrastructure software at $27,029 million.",high,Chunk-backed evidence from selected annual 10-K.
Meta Platforms,META,current_sp500_top20_2026,2026,10-K,2026-01-29,0001628280-26-003942,Family daily active people,3.58,billion average DAP,Family metrics,user_or_customer_scale,1b4862134809d2ae,Meta reports Family daily active people averaged 3.58 billion for December 2025.,high,Recurring platform metric from selected annual 10-K.
Tesla,TSLA,current_sp500_top20_2026,2026,10-K,2026-01-29,0001628280-26-003952,consumer vehicles delivered,1.64,million vehicles approximate,Business overview - vehicles and energy storage,unit_volume,2bdeaf78d75e4dd5,Tesla states it delivered approximately 1.64 million consumer vehicles and deployed 46.7 GWh of energy storage products.,high,Recurring unit-volume metric from selected annual 10-K.
Berkshire Hathaway,BRK.B,current_sp500_top20_2026,2026,10-K,2026-03-02,0001193125-26-083899,BNSF total freight cars/units,"9,622",thousands of cars/units,BNSF operating data,unit_volume,669cf53d60ff859b,"Berkshire reports BNSF total freight cars/units of 9,622 thousand for 2025.",high,Chunk-backed evidence from selected annual 10-K.
Walmart,WMT,current_sp500_top20_2026,2026,10-K,2026-03-13,0000104169-26-000055,Walmart U.S. Supercenters,"3,566",retail units,Unit counts,store_or_location_count,6fffbf1d11364638,"Walmart unit counts show Walmart U.S. Supercenters at 3,566 as of January 31, 2026.",high,Chunk-backed evidence from selected annual 10-K.
JPMorgan Chase,JPM,current_sp500_top20_2026,2026,10-K,2026-02-13,0001628280-26-008131,cards in force,116.5,million cards,Consumer and Community Banking metrics,financial_services_metric,af34a6ad1f330838,JPMorgan Chase reports cards in force of 116.5 million.,high,Chunk-backed financial services metric from selected annual 10-K.
Eli Lilly,LLY,current_sp500_top20_2026,2026,10-K,2026-02-12,0000059478-26-000013,Mounjaro net product revenue,"22,965",USD millions,Net product revenue,segment_metric,72b65526816d5c90,"Lilly net product revenue shows Mounjaro at $22,965 million.",high,Chunk-backed evidence from selected annual 10-K.
Exxon Mobil,XOM,current_sp500_top20_2026,2026,10-K,2026-02-18,0000034088-26-000045,oil-equivalent production,"4,736",thousand oil-equivalent barrels daily,Operating statistics,production_or_capacity,9d86c6b9e763c9a7,"Exxon Mobil operating statistics report oil-equivalent production of 4,736 thousand barrels daily.",high,Chunk-backed evidence from selected annual 10-K.
Visa,V,current_sp500_top20_2026,2026,10-K,2025-11-06,0001403161-25-000089,Visa processed transactions,"257,545",million transactions,Payments volume and processed transactions,financial_services_metric,08731104fc5d8024,"Visa reports processed transactions of 257,545 million.",high,Chunk-backed financial services metric from selected annual 10-K.
Micron Technology,MU,current_sp500_top20_2026,2026,10-K,2025-10-03,0000723125-25-000028,Cloud Memory Business Unit revenue,"13,524",USD millions,Business unit revenue,segment_metric,933d9e667d20a207,"Micron business-unit revenue lists CMBU at $13,524 million.",high,Chunk-backed evidence from selected annual 10-K.
Advanced Micro Devices,AMD,current_sp500_top20_2026,2026,10-K,2026-02-04,0000002488-26-000018,Data Center net revenue,"16,635",USD millions,Segment net revenue,segment_metric,8c9ea306ff08a701,"AMD segment net revenue reports Data Center at $16,635 million.",high,Chunk-backed evidence from selected annual 10-K.
Johnson & Johnson,JNJ,current_sp500_top20_2026,2026,10-K,2026-02-11,0000200406-26-000016,Innovative Medicine segment sales,"60,401",USD millions,Segment sales,segment_metric,ef97604b9d72b187,"Johnson & Johnson segment sales show Innovative Medicine at $60,401 million.",high,Chunk-backed evidence from selected annual 10-K.
Oracle,ORCL,current_sp500_top20_2026,2026,10-K,2025-06-18,0000950170-25-087926,Cloud and license revenues,"49,230",USD millions,Revenue by offering,segment_metric,7fb4171f9e147682,"Oracle revenue by offering shows cloud and license revenues of $49,230 million.",high,Chunk-backed evidence from selected annual 10-K.
Mastercard,MA,current_sp500_top20_2026,2026,10-K,2026-02-11,0001141391-26-000013,switched transactions,175.5,billion transactions,Operating metrics,financial_services_metric,adf87a8a06323b79,Mastercard reports switched transactions of 175.5 billion.,high,Chunk-backed financial services metric from selected annual 10-K.
Costco Wholesale,COST,current_sp500_top20_2026,2026,10-K,2025-10-08,0000909832-25-000101,warehouses worldwide,914,warehouses,Warehouse count,store_or_location_count,25d26c13cc6c3950,"Costco reports operating 914 warehouses worldwide at August 31, 2025.",high,Chunk-backed evidence from selected annual 10-K.
