cohort_name,cohort_year,cohort_role,rank,company,ticker,market_cap,sector_or_industry,cohort_source_url,cohort_retrieved_at,edgarpack_input,cik,edgarpack_source,identity_notes
current_sp500_top20_2026,2026,primary,1,NVIDIA,NVDA,5.264T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,NVDA,0001045810,SEC,
current_sp500_top20_2026,2026,primary,2,Alphabet,GOOGL,4.238T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,GOOGL,0001652044,SEC,Alphabet current CIK; IPO-stage S-1 is under Google Inc CIK 0001288776.
current_sp500_top20_2026,2026,primary,3,Apple,AAPL,3.929T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AAPL,0000320193,SEC,
current_sp500_top20_2026,2026,primary,4,Microsoft,MSFT,3.155T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MSFT,0000789019,SEC,
current_sp500_top20_2026,2026,primary,5,Amazon,AMZN,2.803T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AMZN,0001018724,SEC,
current_sp500_top20_2026,2026,primary,6,Broadcom,AVGO,1.980T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AVGO,0001730168,SEC,Current Broadcom CIK; life-arc review may require Avago Technologies CIK 0001441634.
current_sp500_top20_2026,2026,primary,7,Meta Platforms,META,1.717T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,META,0001326801,SEC,
current_sp500_top20_2026,2026,primary,8,Tesla,TSLA,1.422T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,TSLA,0001318605,SEC,
current_sp500_top20_2026,2026,primary,9,Berkshire Hathaway,BRK.B,1.020T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,BRK-B,0001067983,SEC,EdgarPack input normalized to BRK-B.
current_sp500_top20_2026,2026,primary,10,Walmart,WMT,1.017T,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,WMT,0000104169,SEC,
current_sp500_top20_2026,2026,primary,11,JPMorgan Chase,JPM,835.01B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,JPM,0000019617,SEC,1996 row may require predecessor continuity review around Chase/J.P. Morgan merger history.
current_sp500_top20_2026,2026,primary,12,Eli Lilly,LLY,775.68B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,LLY,0000059478,SEC,
current_sp500_top20_2026,2026,primary,13,Exxon Mobil,XOM,617.47B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,XOM,0000034088,SEC,
current_sp500_top20_2026,2026,primary,14,Visa,V,595.53B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,V,0001403161,SEC,
current_sp500_top20_2026,2026,primary,15,Micron Technology,MU,591.56B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MU,0000723125,SEC,
current_sp500_top20_2026,2026,primary,16,Advanced Micro Devices,AMD,545.56B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AMD,0000002488,SEC,
current_sp500_top20_2026,2026,primary,17,Johnson & Johnson,JNJ,542.44B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,JNJ,0000200406,SEC,
current_sp500_top20_2026,2026,primary,18,Oracle,ORCL,497.44B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,ORCL,0001341439,SEC,Current Oracle CIK; older pre-2005 filing continuity should be checked before life-arc extraction.
current_sp500_top20_2026,2026,primary,19,Mastercard,MA,451.64B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MA,0001141391,SEC,
current_sp500_top20_2026,2026,primary,20,Costco Wholesale,COST,442.77B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,COST,0000909832,SEC,
context_sp500_top20_1989,1989,context,1,Exxon Mobil,XOM,62.59B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,XOM,0000034088,SEC,
context_sp500_top20_1989,1989,context,2,IBM,IBM,52.03B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,IBM,0000051143,SEC,
context_sp500_top20_1989,1989,context,3,General Electric,GE,35.78B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,GE,0000040545,SEC,
context_sp500_top20_1989,1989,context,4,Bristol-Myers Squibb,BMY,28.00B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,BMY,0000014272,SEC,
context_sp500_top20_1989,1989,context,5,Merck,MRK,27.58B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MRK,0000064978,SEC,Corrected to historical Merck CIK; current MRK lineage differs after the Schering-Plough transaction.
context_sp500_top20_1989,1989,context,6,Coca-Cola,KO,26.37B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,KO,0000021344,SEC,
context_sp500_top20_1989,1989,context,7,Walmart,WMT,25.39B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,WMT,0000104169,SEC,
context_sp500_top20_1989,1989,context,8,Procter & Gamble,PG,22.99B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PG,0000080424,SEC,
context_sp500_top20_1989,1989,context,9,Verizon Communications,VZ,21.99B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,VZ,0000732712,SEC,
context_sp500_top20_1989,1989,context,10,Johnson & Johnson,JNJ,19.77B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,JNJ,0000200406,SEC,
context_sp500_top20_1989,1989,context,11,Eli Lilly,LLY,19.06B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,LLY,0000059478,SEC,
context_sp500_top20_1989,1989,context,12,PepsiCo,PEP,16.86B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PEP,0000077476,SEC,
context_sp500_top20_1989,1989,context,13,Walt Disney,DIS,15.17B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,DIS,0001744489,SEC,EdgarPack resolves current Disney CIK; verify predecessor continuity for 1996 filings.
context_sp500_top20_1989,1989,context,14,AT&T,T,14.37B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,T,0000732717,SEC,
context_sp500_top20_1989,1989,context,15,3M,MMM,14.36B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MMM,0000066740,SEC,
context_sp500_top20_1989,1989,context,16,AIG,AIG,14.01B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,AIG,0000005272,SEC,
context_sp500_top20_1989,1989,context,17,Boeing,BA,13.68B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,BA,0000012927,SEC,
context_sp500_top20_1989,1989,context,18,McDonald's,MCD,12.77B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,MCD,0000063908,SEC,
context_sp500_top20_1989,1989,context,19,Pfizer,PFE,10.90B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,PFE,0000078003,SEC,
context_sp500_top20_1989,1989,context,20,Schlumberger,SLB,10.37B,,https://www.finhacker.cz/en/top-20-sp-500-companies-by-market-cap/,2026-04-28,SLB,0000087347,SEC,
