company,ticker,cohort_name,cohort_year,filing_form,filing_date,accession,revenue,operating_income,net_income,gross_margin,operating_margin,r_and_d_expense,r_and_d_intensity,capex,capex_intensity,employees,segment_mix_summary,geographic_mix_summary,evidence_chunk_ids,evidence_excerpt,confidence,notes
Bristol-Myers Squibb,BMY,earlier_sp500_top20_1996,1996,10-K,1997-03-31,0000014272-97-000008,15065,not_disclosed,not_disclosed,not_disclosed,not_disclosed,1276,8.47%,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,raw:BMY-1996:L8543-L8561; raw:BMY-1996:L1312-L1317,"Selected annual evidence supports revenue 15065, cash 1,681, securities 504, debt 966, employees not_disclosed.",medium,"FDS gives sales/cash/securities/debt; R&D intensity = 1,276 / 15,065."
Pfizer,PFE,earlier_sp500_top20_1996,1996,10-K,1997-03-28,0000950116-97-000605,11306,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,"46,000",not_disclosed,not_disclosed,raw:PFE-1996:L14829-L14847; raw:PFE-1996:L337-L340; raw:PFE-1996:L907-L911,"Selected annual evidence supports revenue 11306, cash 1,150, securities 487, debt 687, employees 46,000.",medium,FDS gives sales/cash/securities/debt; annual text notes multibillion R&D but exact 1996 amount was not extracted.
Walt Disney,DIS,earlier_sp500_top20_1996,1996,10-K405,1996-12-19,0000898430-96-005815,18739,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_meaningful,not_meaningful,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,raw:DIS-1996:L10471-L10489; raw:DIS-1996:L1356-L1359,"Selected annual evidence supports revenue 18739, cash 278, securities 454, debt 12,342, employees not_disclosed.",medium,Old Disney CIK annual selected per predecessor note; FDS gives sales/cash/securities/debt; repurchase text reviewed.
PepsiCo,PEP,earlier_sp500_top20_1996,1996,10-K,1997-03-25,0000077476-97-000007,31645,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,"471,000",not_disclosed,not_disclosed,raw:PEP-1996:L10591-L10609; raw:PEP-1996:L326-L328; raw:PEP-1996:L2443-L2444,"Selected annual evidence supports revenue 31645, cash 447, securities 339, debt 8,439, employees 471,000.",medium,FDS gives sales/cash/securities/debt; annual text gives employees and cash returns.
Chevron,CVX,earlier_sp500_top20_1996,1996,10-K,1996-03-27,0000093410-96-000003,36310,not_disclosed,not_disclosed,not_disclosed,not_disclosed,185,0.51%,3529,9.72%,"40,000",not_disclosed,not_disclosed,raw:CVX-1996:L8392-L8410; raw:CVX-1996:L3917-L3931; raw:CVX-1996:L240-L240,"Selected annual evidence supports revenue 36310, cash 621, securities 773, debt 4,521, employees 40,000.",medium,FDS gives sales/cash/securities/debt; R&D and capex lines support intensity formulas.
AIG,AIG,earlier_sp500_top20_1996,1996,10-K,1997-03-28,0000950123-97-002720,not_disclosed,not_meaningful,not_disclosed,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_disclosed,not_disclosed,not_disclosed,raw:AIG-1996:L9306-L9306; raw:AIG-1996:L2556-L2557; raw:AIG-1996:L4149-L4149,"Selected annual evidence supports revenue not_disclosed, cash 58,740, securities not_meaningful, debt not_disclosed, employees not_disclosed.",low,Insurance company FDS extraction did not expose comparable revenue/debt tags; cash and capital-return lines cited.
Cisco Systems,CSCO,earlier_sp500_top20_1996,1996,10-K,1996-10-25,0000950149-96-001640,4096.007,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,282.8,6.90%,not_disclosed,not_disclosed,not_disclosed,raw:CSCO-1996:L3963-L3981; raw:CSCO-1996:L604-L607; raw:CSCO-1996:L864-L870,"Selected annual evidence supports revenue 4096.007, cash 279.695, securities 1,819.247, debt 0, employees not_disclosed.",medium,"FDS uses thousands; capex and R&D discussion cited, exact R&D amount left conservative."
Eli Lilly,LLY,earlier_sp500_top20_1996,1996,10-K,1996-03-25,0000059478-96-000001,6504.386,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,551.3,8.48%,"26,800",not_disclosed,not_disclosed,raw:LLY-1996:L5042-L5060; raw:LLY-1996:L607-L609; raw:LLY-1996:L2791-L2794,"Selected annual evidence supports revenue 6504.386, cash 999.549, securities 84.644, debt 2,592.894, employees 26,800.",medium,FDS uses thousands; capex line supports intensity formula.
Fannie Mae,FNMA,earlier_sp500_top20_1996,1996,availability_exception,no-1995-1997-sec-annual,no-1995-1997-sec-annual,not_disclosed,not_meaningful,not_disclosed,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_disclosed,not_disclosed,not_disclosed,availability_exception:FNMA-1996:no-sec-annual-filing,"Selected annual evidence supports revenue not_disclosed, cash not_disclosed, securities not_meaningful, debt not_disclosed, employees not_disclosed.",medium,No 1995-1997 SEC annual filing found; row is an availability exception.
JPMorgan Chase,JPM,earlier_sp500_top20_1996,1996,10-K,1997-03-25,0000950123-97-002412,not_disclosed,not_meaningful,not_disclosed,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_disclosed,not_disclosed,not_disclosed,raw:JPM-1996:L11303-L11303,"Selected annual evidence supports revenue not_disclosed, cash 14,605, securities not_meaningful, debt not_disclosed, employees not_disclosed.",low,Bank annual FDS extraction did not expose comparable revenue/debt tags; row kept conservative.
NVIDIA,NVDA,current_sp500_top20_2026,2026,10-K,2026-02-25,0001045810-26-000021,215938,130387,120067,71.07%,60.38%,18497,8.57%,6042,2.80%,"42,000","Compute & Networking 130,141; Graphics 9,156 segment revenue excerpted in filing chunk.",31% revenue from customers headquartered outside the U.S.,76db4f64fb7c0f8c; 8e43a2ddda32c7ed; 924de81c8bd11bdd; faca9441d16bf926; 317640d522f84336; 6d818794f80ce674; 5528577b40a2bd2a,"Selected annual filing evidence supports revenue 215938, operating income 130387, net income 120067, R&D 18497, capex 6042, employees 42,000.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Alphabet,GOOGL,current_sp500_top20_2026,2026,10-K,2026-02-05,0001652044-26-000018,402836,129039,132170,not_meaningful,32.03%,61087,15.16%,91447,22.70%,"190,820",Google Services and Google Cloud drove most revenue growth; Other Bets remains separate.,International revenues accounted for approximately 52% of consolidated revenues.,2944603f9d6253ce; 299663073aeeae1c; 754218e0c456f4e1; 66e919ea6a89c5c9; 38630a332cfb2bcd; 7c2c95e2c66d9aac; ffaa7169415628b4; 230b816365022b67,"Selected annual filing evidence supports revenue 402836, operating income 129039, net income 132170, R&D 61087, capex 91447, employees 190,820.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Apple,AAPL,current_sp500_top20_2026,2026,10-K,2025-10-31,0000320193-25-000079,416161,133050,112010,46.91%,31.97%,34550,8.30%,12715,3.06%,not_disclosed,"Products 307,003 and Services 109,158 net sales.","Segment note covers Americas, Europe, Greater China, Japan, Rest of Asia Pacific.",fa7828d9fce42172; ec069b7dcbf393a0; aabda7a3b9a62566; 0b7b125fee38ef7d; be2a735a6acbdc71,"Selected annual filing evidence supports revenue 416161, operating income 133050, net income 112010, R&D 34550, capex 12715, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Microsoft,MSFT,current_sp500_top20_2026,2026,10-K,2025-07-30,0000950170-25-100235,281724,128528,101832,68.82%,45.62%,32488,11.53%,64551,22.91%,"228,000","Productivity and Business Processes, Intelligent Cloud, and More Personal Computing segments.","International employees 103,000; global revenue mix disclosed elsewhere in filing.",8f5a9a653fd87359; effcee5a391032d3; d5335e6b9eb843f8; 63ab2ab6f45f7d24; 8b8e8c43682746e4; 12d2b6ebe61c3703,"Selected annual filing evidence supports revenue 281724, operating income 128528, net income 101832, R&D 32488, capex 64551, employees 228,000.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Amazon,AMZN,current_sp500_top20_2026,2026,10-K,2026-02-06,0001018724-26-000004,716924,79975,77670,not_meaningful,11.16%,not_disclosed,not_disclosed,131819,18.39%,"1,576,000","North America, International, and AWS reportable segments.",International segment disclosed separately; exact geography mix not extracted.,3912c859e32d4efc; ed3bd5a069aef122; a7ca4c3305e5c3c5; 9181e4fd1d644adc; 58be82cb75582d90; 82ea41785db77f3d; ed6c560457d7bf0e,"Selected annual filing evidence supports revenue 716924, operating income 79975, net income 77670, R&D not_disclosed, capex 131819, employees 1,576,000.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Broadcom,AVGO,current_sp500_top20_2026,2026,10-K,2025-12-18,0001730168-25-000121,63887,25484,23126,67.77%,39.89%,10977,17.18%,623,0.98%,not_disclosed,"Semiconductor solutions 21,232 and infrastructure software 20,765 in cited segment chunk.",not_disclosed,4f47760ca73e32bb; 4645d17e6a4723d9; d23b6bd8ee80da71; 316ae7852c169ec2; f66ea888c413bbae; ef0cf4f47de422d5; 5c5ad1014756413d,"Selected annual filing evidence supports revenue 63887, operating income 25484, net income 23126, R&D 10977, capex 623, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Meta Platforms,META,current_sp500_top20_2026,2026,10-K,2026-01-29,0001628280-26-003942,200966,83276,60458,not_meaningful,41.44%,57372,28.55%,69691,34.68%,"78,865",Family of Apps and Reality Labs operating segments.,not_disclosed,73f51c843cd4097e; 1b4862134809d2ae; 88f5824f9e70b2ca; 1a3f6b42414fe151; 632d63d89afa425b; 43c8f1756f863d69; 3f85be798c2d364d,"Selected annual filing evidence supports revenue 200966, operating income 83276, net income 60458, R&D 57372, capex 69691, employees 78,865.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Tesla,TSLA,current_sp500_top20_2026,2026,10-K,2026-01-29,0001628280-26-003952,94827,4355,3794,18.03%,4.59%,6411,6.76%,8527,8.99%,not_disclosed,"Automotive, Energy Generation and Storage, and Services/Other operating revenue.",not_disclosed,2bdeaf78d75e4dd5; efdbe9003d9ead54; 58a74a803da5cc84; fe7e8a28c2dc108a; d878b7d206cd0edc; d218b9d3eccca91a; cfa0f2315d3973e2,"Selected annual filing evidence supports revenue 94827, operating income 4355, net income 3794, R&D 6411, capex 8527, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Berkshire Hathaway,BRK.B,current_sp500_top20_2026,2026,10-K,2026-03-02,0001193125-26-083899,371444,not_meaningful,66968,not_meaningful,not_meaningful,not_meaningful,not_meaningful,20927,5.63%,not_disclosed,"Insurance, railroad, utilities/energy, manufacturing/service/retail mix.",not_disclosed,2958c0e07eacaaa1; d3e52f4b477cbd15; d226e48e5c6461f4; c795cb1f17118dd2; b0d0cda15f40f436; ab3a5694d4f7abe8,"Selected annual filing evidence supports revenue 371444, operating income not_meaningful, net income 66968, R&D not_meaningful, capex 20927, employees not_disclosed.",low,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Walmart,WMT,current_sp500_top20_2026,2026,10-K,2026-03-13,0000104169-26-000055,713163,29825,21893,not_meaningful,4.18%,not_meaningful,not_meaningful,26642,3.74%,not_disclosed,"Walmart U.S., Walmart International, and Sam’s Club U.S.","Global retail operations across U.S., Africa, Canada, Central America, Chile, China, India and Mexico.",8643ff20c037d17e; 74d3d427af9a5321; d5dac99b25c812b4; 9e0e94351b929ffb; fac6095fe42200dc; f50e97c42ff582ad; c29d608ae93a7e65,"Selected annual filing evidence supports revenue 713163, operating income 29825, net income 21893, R&D not_meaningful, capex 26642, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
JPMorgan Chase,JPM,current_sp500_top20_2026,2026,10-K,2026-02-13,0001628280-26-008131,182447,not_meaningful,57048,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_meaningful,not_disclosed,"Consumer & Community Banking, Commercial & Investment Bank, Asset & Wealth Management, Corporate.",not_disclosed,d0e7aadfe0820527; c9f7823e98a90319; e5bd3bd1329391bc; db35c25aba99aed0; d931262f93831f99; a3decff3a0e517a7; f5f33aeac5934736,"Selected annual filing evidence supports revenue 182447, operating income not_meaningful, net income 57048, R&D not_meaningful, capex not_meaningful, employees not_disclosed.",low,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Eli Lilly,LLY,current_sp500_top20_2026,2026,10-K,2026-02-12,0000059478-26-000013,65179,not_disclosed,20640,not_disclosed,not_disclosed,13337,20.46%,7841,12.03%,not_disclosed,Single pharmaceutical business with product revenue concentration.,not_disclosed,cc99294f464388fa; 9f933cf8a3152410; 03d7de98f092489a; d4890c51547508a8; b5764e2c79f9a1b3; 973c82e9daced9db; fd487982c7c35928; bfaf0f98dd738c60,"Selected annual filing evidence supports revenue 65179, operating income not_disclosed, net income 20640, R&D 13337, capex 7841, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Exxon Mobil,XOM,current_sp500_top20_2026,2026,10-K,2026-02-18,0000034088-26-000045,332238,not_disclosed,28844,not_disclosed,not_disclosed,1200,0.36%,28358,8.54%,not_disclosed,"Upstream, Energy Products, Chemical Products, Specialty Products.",not_disclosed,d69376907ed8777a; fcdf22cb91490105; e18a8a28adfcf588; 2951de14f973d74a; 0a13d3fde1620b3c; e8e8bee6522ab133; a035df9359904dd4,"Selected annual filing evidence supports revenue 332238, operating income not_disclosed, net income 28844, R&D 1200, capex 28358, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Visa,V,current_sp500_top20_2026,2026,10-K,2025-11-06,0001403161-25-000089,40000,23994,20058,not_meaningful,59.98%,not_meaningful,not_meaningful,1482,3.71%,not_disclosed,Payment network services; no product/manufacturing segment mix.,not_disclosed,ecad61173b7d4527; 69abefc6acca05b1; 605be01d59209a5d; 91c77b82959e3ba8; ecc8d6b393c6ad31; a97cf3682f292770; 9ce61fd35ea23157; 30dd6bf1a34b9f93,"Selected annual filing evidence supports revenue 40000, operating income 23994, net income 20058, R&D not_meaningful, capex 1482, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Micron Technology,MU,current_sp500_top20_2026,2026,10-K,2025-10-03,0000723125-25-000028,37378,9770,8539,39.79%,26.14%,3798,10.16%,15857,42.42%,not_disclosed,"Compute/Networking, Mobile, Embedded and Storage business units in segment chunks.",not_disclosed,386867fcdf159431; e0edc2ae5ba05323; 0986712ab1f8f432; b61e71e8dc066664; feb0388a5793b0ac; 6786d3c397b3a178; 933d9e667d20a207,"Selected annual filing evidence supports revenue 37378, operating income 9770, net income 8539, R&D 3798, capex 15857, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Advanced Micro Devices,AMD,current_sp500_top20_2026,2026,10-K,2026-02-04,0000002488-26-000018,34639,3694,4335,49.52%,10.66%,8091,23.36%,974,2.81%,not_disclosed,"Data Center, Client and Gaming, Embedded segments.",not_disclosed,34939d242a49c7a2; b794e110d9b3769a; 49f10deba779caad; d288ac3ab828c684; 8c9ea306ff08a701; 22dd6da45ef04921; ed2ab5f61012ad5e,"Selected annual filing evidence supports revenue 34639, operating income 3694, net income 4335, R&D 8091, capex 974, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Johnson & Johnson,JNJ,current_sp500_top20_2026,2026,10-K,2026-02-11,0000200406-26-000016,94193,not_disclosed,26804,67.88%,not_disclosed,14665,15.57%,4832,5.13%,"138,200",Innovative Medicine and MedTech segments.,not_disclosed,cada017cefbc5fa1; ddf0b35bfe20f720; 90a70f54551b403d; d5bc65dca3fe6214; ef97604b9d72b187; d606985e75bb6d8e; c7a417233e29ca22; 0ae26be4f92554b6,"Selected annual filing evidence supports revenue 94193, operating income not_disclosed, net income 26804, R&D 14665, capex 4832, employees 138,200.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Oracle,ORCL,current_sp500_top20_2026,2026,10-K,2025-06-18,0000950170-25-087926,57399,17678,12443,not_meaningful,30.80%,9860,17.18%,21215,36.96%,not_disclosed,"Cloud services/license support, cloud license/on-prem license, hardware, services.",International operations expected to remain significant.,f3ede522013cf9e5; 8ce3c6c1a3073dd1; 594fd9c9d7012424; 0cae6e344bcf87c1; d327f577a68e949f; b8144882db68f212; 7f21fa2851c8bb36,"Selected annual filing evidence supports revenue 57399, operating income 17678, net income 12443, R&D 9860, capex 21215, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Mastercard,MA,current_sp500_top20_2026,2026,10-K,2026-02-11,0001141391-26-000013,32791,18897,14968,not_meaningful,57.63%,not_meaningful,not_meaningful,489,1.49%,not_disclosed,Global payment network and value-added services.,Approximately 71% of revenue generated from activities outside the U.S.,c6ab47a3be08dc78; e0e0ef75933df8ad; 2ceef30bdbfe9d2b; 956f8914092ddb3c; 0db20a4717e4b86d; e230b65570892e82,"Selected annual filing evidence supports revenue 32791, operating income 18897, net income 14968, R&D not_meaningful, capex 489, employees not_disclosed.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
Costco Wholesale,COST,current_sp500_top20_2026,2026,10-K,2025-10-08,0000909832-25-000101,275235,10383,8099,not_meaningful,3.77%,not_meaningful,not_meaningful,5498,2.00%,"341,000","U.S., Canada, and Other International segments.",International operations generated 27% of net sales and 34% of operating income.,a0e37c097fccca33; 498b96b34c471de9; 58d394300bbcfca4; d4e8abe9fab8bb05; b3d1f9d10d6ff5ab; feac4d56b61b42ea; cac19c5e3428150b,"Selected annual filing evidence supports revenue 275235, operating income 10383, net income 8099, R&D not_meaningful, capex 5498, employees 341,000.",medium,"Standard numeric fields normalized from the selected annual XBRL sidecar; cited chunks include the source financial statement or MD&A tables. Margins/intensities derive from same-period values where available. Operating income, gross margin, R&D, or capex remains not_meaningful/not_disclosed only where no comparable standard fact was extracted."
