company,ticker,period_anchor,kpi_name,kpi_value,kpi_unit,kpi_definition,kpi_category,section_id,chunk_id,source_excerpt,source_url,confidence,notes
SHOPIFY INC.,SHOP,current,Shopify Payments penetration rate,65.6,percent,,payments,10k_partii_item7_managements_discussion_3,ad9a3326b3b6312b,"For the year ended December 31, 2025, the Shopify Payments penetration rate was 65.6%, resulting in GMV of $248.1 billion that was facilitated using Shopify Payments.",https://www.sec.gov/Archives/edgar/data/1594805/000159480526000007/0001594805-26-000007-index.htm,high,
Snowflake Inc.,SNOW,current,average of approximately 4.2 billion daily queries,4.2,billions count,Average daily queries processed across all customer accounts during the stated month.,usage,10k_parti_item1_business_2,1723d9908aab9bb7,"From January 1, 2024 to January 31, 2024, we processed an average of approximately 4.2 billion daily queries across all our customer accounts",https://www.sec.gov/Archives/edgar/data/1640147/000164014724000101/0001640147-24-000101-index.htm,high,
Snowflake Inc.,SNOW,current,customers that contributed more than $1 million in trailing 12-month product revenue,733.0,count,Number of customers that contributed more than $1 million in trailing 12-month product revenue.,enterprise_mix,10k_parti_item1_business_2,126e13ba3c69ce61,"The number of customers that contributed more than $1 million in trailing 12-month product revenue increased from 576 to 733 as of January 31, 2025 and 2026, respectively.",https://www.sec.gov/Archives/edgar/data/1640147/000164014726000008/0001640147-26-000008-index.htm,high,
Snowflake Inc.,SNOW,current,those customers contributed approximately 41% of our revenue,43.0,percent,Share of fiscal-year revenue contributed by customers included in the Forbes Global 2000 customer cohort.,enterprise_mix,10k_parti_item1_business_2,8848c8f5be2bc134,"those customers contributed approximately 43% of our revenue for the fiscal year ended January 31, 2026.",https://www.sec.gov/Archives/edgar/data/1640147/000164014726000008/0001640147-26-000008-index.htm,high,
Snowflake Inc.,SNOW,current,net revenue retention rate,125.0,percent,A measure of increased consumption by existing customers; the filing refers to the Key Business Metrics section for the full definition.,retention,10k_parti_item1_business_2,126e13ba3c69ce61,"our net revenue retention rate, which was 125% as of January 31, 2026.",https://www.sec.gov/Archives/edgar/data/1640147/000164014726000008/0001640147-26-000008-index.htm,high,
Snowflake Inc.,SNOW,current,total customers,13328.0,count,"Customer count is subject to adjustments for acquisitions, consolidations, spin-offs, and other market activity, with historical periods presented reflecting these adjustments.",customer_scale,10k_parti_item1_business_2,8848c8f5be2bc134,"As of January 31, 2026, we had 13,328 total customers, increasing from 10,996 customers as of January 31, 2025.",https://www.sec.gov/Archives/edgar/data/1640147/000164014726000008/0001640147-26-000008-index.htm,high,
Atlassian Corp,TEAM,current,customers,300000.0,count,,customer_scale,10k_parti_item1_business,9d8e0a9cf1961f2b,"powers more than 300,000 customers worldwide",https://www.sec.gov/Archives/edgar/data/1650372/000165037225000036/0001650372-25-000036-index.htm,high,
Atlassian Corp,TEAM,current,purchases of third-party apps,1.1,billions USD,Purchases of third-party apps generated through the Atlassian Marketplace during fiscal year 2023.,ecosystem,10k_parti_item1_business,49a56f8045902a74,"In fiscal year 2024 , the Atlassian Marketplace generated o ver $1.1 billion in gross purchases of third-party apps.",https://www.sec.gov/Archives/edgar/data/1650372/000165037224000036/0001650372-24-000036-index.htm,high,
"Zoom Communications, Inc.",ZM,current,integrations,3100.0,count,,ecosystem,10k_parti_item1_business,c5ecd4186f408ffb,"Zoom offers more than 3,100 apps on the Zoom App Marketplace and integrations with key software vendors, such as Microsoft and Google.",https://www.sec.gov/Archives/edgar/data/1585521/000158552126000030/0001585521-26-000030-index.htm,high,
"Zoom Communications, Inc.",ZM,current,full-time employees,7438.0,count,,scale,10k_parti_item1_business,f58605834c204a57,"As of January 31, 2026, we had 7,438 full-time employees.",https://www.sec.gov/Archives/edgar/data/1585521/000158552126000030/0001585521-26-000030-index.htm,high,
"Zoom Communications, Inc.",ZM,current,native PSTN connectivity,45.0,count,Countries and territories where Zoom Phone provides native public switched telephone network connectivity.,product_breadth,10k_parti_item1_business,02708823b02d06d4,"As of January 31, 2025, Zoom Phone provided native PSTN connectivity in more than 45 countries and territories.",https://www.sec.gov/Archives/edgar/data/1585521/000158552125000042/0001585521-25-000042-index.htm,high,
