company,ticker,cik,anchor_year,filing_form,filing_date,accession,source_path,founder_names,founder_executive_role,founder_board_role,founder_economic_ownership_pct,founder_voting_power_pct,dual_class_or_control_mechanism,controlled_company_status,control_summary,evidence_section_id,evidence_chunk_ids,evidence_excerpt,confidence,notes
"Amazon.com, Inc.","AMZN","0001018724","2016","DEF 14A","2016-04-05","0001193125-16-530747","packs/0001018724/0001193125-16-530747/sections/def14a_itemother_amazon_com_inc_def_14_a_filed.md","Jeffrey P. Bezos","Chief Executive Officer","Chairman of the Board","17.6%","17.6%","Common-stock beneficial ownership; founder ownership stake cited in board-leadership discussion","not stated","Founder CEO/chair owns 82,914,385 shares, 17.6%; board cites his significant ownership stake.","def14a_itemother_amazon_com_inc_def_14_a_filed","8af7b613ad3af541;4dd84632f7140d4e;81109c4a177ab68f","Bezos has been Chairman since founding; table shows 82,914,385 shares and 17.6%.","high","Voting pct follows common-stock beneficial ownership table."
"Amazon.com, Inc.","AMZN","0001018724","2006","DEF 14A","2006-04-20","0001193125-06-083910","packs/0001018724/0001193125-06-083910/sections/def14a_itemother_amazon_com_inc_def_14_a_filed.md","Jeffrey P. Bezos","Chief Executive Officer","Chairman of the Board","24.26%","24.26%","Common-stock beneficial ownership; substantial ownership cited in compensation discussion","not stated","Founder CEO/chair owns 101,279,651 shares, 24.26%; filing cites approximately 24% substantial ownership.","def14a_itemother_amazon_com_inc_def_14_a_filed","1e4064272c490f5d;da727beb91a5d73a;9e66488e2600e156","Bezos has been Chairman since founding; table shows 101,279,651 shares and 24.26%.","high","Voting pct follows common-stock beneficial ownership table."
"Taiwan Semiconductor Manufacturing Company Limited","TSM","0001046179","2026","20-F","2026-04-16","0001628280-26-025362","packs/0001046179/0001628280-26-025362/sections/20f_itemother_taiwan_semiconductor.md","none in cited current-control evidence","N/A; relevant row is C.C. Wei, chair/CEO","N/A; relevant row is C.C. Wei, chair/CEO","","","Major shareholders have the same voting rights as other shareholders.","No change-of-control arrangement disclosed in cited section; no founder evidence in cited chunks.","Current-control evidence only: C.C. Wei is chair/CEO and owns 0.03%; NDF owns 6.38%; directors/executive officers group owns 0.23%.","20f_itemother_taiwan_semiconductor","c8703d391fbc28e1;06812c7d7c682ba2;0eacb37f78fcb516","C.C. Wei is Chairman and CEO; C.C. Wei owns 0.03%; NDF owns 6.38%; major shareholders have same voting rights.","medium","20-F format differs from U.S. proxy; founder/voting-power fields not separately disclosed."
"Taiwan Semiconductor Manufacturing Company Limited","TSM","0001046179","2016","20-F","2016-04-11","0001193125-16-536225","packs/0001046179/0001193125-16-536225/sections/20f_itemother_part_i.md","Morris Chang","Former CEO; retired as CEO on 2013-11-12","Chairman; founding Chairman of the board since establishment","0.48%","","Major shareholders have the same voting rights as other shareholders.","No change-of-control arrangement disclosed in cited section.","Founder-chairman evidence: Morris Chang was founding chairman, former CEO, and owned 125,137,914 shares / 0.48%; major shareholders had same voting rights.","20f_itemother_part_i","a43312ad9c0370da;b9ad97b4f0d52465;0645a81e9d280ad2","Morris Chang was founding Chairman; ownership table shows 125,137,914 shares and 0.48%; major shareholders have same voting rights.","medium","20-F format; founder voting power not separately tabulated."
"Taiwan Semiconductor Manufacturing Company Limited","TSM","0001046179","2006","20-F","2007-04-20","0001145549-07-000571","packs/0001046179/0001145549-07-000571/sections/20f_itemother_management.md","Morris Chang","Former CEO until June 2005","Chairman since establishment","0.45%","","Major shareholders have the same voting rights as other shareholders.","Philips and NDF could each be deemed controlling shareholders; not founder-controlled.","Founder-chairman evidence: Morris Chang was chairman since establishment and owned 116,057,019 shares / 0.45%; control evidence points to Philips/NDF, not founder control.","20f_itemother_management;20f_itemother_item_7_major_shareholders","ce6d3745b12a876b;1c796984fb1be154;93bb1d8bdb77291a;5279432e2d17ae0f","Morris Chang chaired the board since establishment; table shows 116,057,019 shares and 0.45%; Philips and NDF could each be deemed controlling shareholders.","medium","Fallback: exact 2006 20-F failed table rendering; 2007 20-F is closest comparable built pack."
"Broadcom Inc.","AVGO","0001730168","2026","DEF 14A","2026-03-02","0001193125-26-085691","packs/0001730168/0001193125-26-085691/sections/unknown_01.md","Henry Samueli, Ph.D.","Former Broadcom Inc. CTO from February 2016 to December 2018","Independent Chairman of the Board since 2018; Executive Committee chair","1.8%","1.8% common-stock beneficial ownership; no separate voting-power table","Common stock beneficial ownership; footnote gives sole voting power over entity-held shares.","Not identified as controlled company in cited sections.","Samueli co-founded Broadcom Corporation, is current board chair, and beneficially owns 85,559,569 shares / 1.8%.","unknown_01","b29cff1fbe00e40f;90a37899d83786b6;f75c01d450c647f9","Samueli co-founded Broadcom Corporation in 1991; table shows 85,559,569 shares and 1.8%; footnote gives sole dispositive and voting power.","high","Voting-power pct is treated as common-stock beneficial ownership because no separate voting-power percentage is tabulated."
"Broadcom Limited","AVGO","0001649338","2016","DEF 14A","2016-02-23","0001193125-16-472407","packs/0001649338/0001193125-16-472407/sections/def14a_itemother_security_ownership_of_certain.md","Henry S. Samueli, Ph.D.","Chief Technical Officer since February 1, 2016","Director since February 2016","ordinary shares under 1%; restricted units 42.0%","2.3%","Restricted Units entitled holders to vote equal Special Voting Shares through a Voting Trust.","Not founder-controlled; predecessor identity mapping required.","Post-acquisition Broadcom Limited proxy: Samueli was BRCM co-founder, CTO/director, and held 19,655 ordinary shares plus 9,573,784 restricted units, for 2.3% total voting power.","def14a_itemother_proxy_statement;def14a_itemother_voting_rights_solicitation_of;def14a_itemother_security_ownership_of_certain","49132f5842d9a3a4;8f5677c1b4293136;e814d6fb0e41384f;1c10ffba1ab1ff5c","Proxy identifies successor to Avago; Samueli was BRCM co-founder; table shows 9,573,784 restricted units and 2.3% voting power.","medium","2016 anchor uses predecessor CIK 0001649338; BRCM founder evidence appears after Avago acquisition."
"Avago Technologies LTD","AVGO","0001441634","2006","S-1","2008-08-21","0001193125-08-182335","packs/0001441634/0001193125-08-182335/sections/s1_itemother_principal_shareholders.md","none in cited fallback evidence","N/A; relevant row is Hock E. Tan, President, CEO and Director","N/A; relevant row is Hock E. Tan, President, CEO and Director","","","Bali Investments / KKR / Silver Lake sponsor control; Bali owned over 50% voting securities and was a Nasdaq controlled company.","Controlled company; sponsor-controlled, not founder-controlled in cited Avago fallback evidence.","Avago fallback shows Hock E. Tan as CEO/director with under-1% ownership, while Bali/KKR/Silver Lake are principal shareholders at 80.9% and Bali owns over 50% voting securities.","s1_itemother_management;s1_itemother_principal_shareholders;s1_itemother_report_of_independent","6a4536622410a244;440df2218f163c72;73b7f98346d5a9a3;65918531e867530b;ee41261ffd36d6b8","Hock E. Tan is President, CEO and Director; Bali owns 172,676,402 shares / 80.9%; company considered a controlled company.","low","Post-anchor first-public-filing fallback, not a 2006 disclosure; no founder row extracted from cited Avago pack evidence."
"Meta Platforms, Inc.","META","0001326801","2026","DEF 14A","2026-04-16","0001628280-26-025532","packs/0001326801/0001628280-26-025532/sections/unknown_01.md","Mark Zuckerberg","Founder, Chairman, and Chief Executive Officer","Chairman; director since 2004","Class A 639,347 / under 1%; Class B 341,823,978 / 99.8%","60.8%","Class B has 10 votes/share; Class A has 1 vote/share","Controlled company under Nasdaq rules","Zuckerberg controls majority voting power and Meta states it is a Nasdaq controlled company.","unknown_01","69fa1736a1e819b7;6f79c1bf4b3bf253;9a17a6b8b18c4f52;14af008e284321b8","Zuckerberg holds 341,823,978 Class B shares, 60.8% voting power; filing states controlled company.","high",""
"Meta Platforms, Inc.","META","0001326801","2016","DEF 14A","2016-06-02","0001326801-16-000074","packs/0001326801/0001326801-16-000074/sections/unknown_01.md","Mark Zuckerberg","Founder, Chairman, and Chief Executive Officer","Chairman; director since 2004","Direct Class B 76.4%; incl. voting proxy Class B 85.3%","Direct 53.8%; incl. voting proxy 60.1%","Class B has 10 votes/share; Class A has 1 vote/share; additional voting proxy over shares","Controlled company under NASDAQ rules","Zuckerberg had majority voting power directly and more via voting proxy; filing states controlled-company status.","unknown_01","7547f57a43ae01df;6ba5774e19b82016;bb21916d1d195475;fd32442d8f862b66","Total including proxy: 467,873,984 Class B shares and 60.1% voting power.","high",""
"Meta Platforms, Inc.","META","0001326801","2006","S-1","2012-02-01","0001193125-12-034517","packs/0001326801/0001193125-12-034517/sections/s1_itemother_principal_selling_stockholders.md","Mark Zuckerberg","Founder, Chairman, and CEO","Chairman and CEO; director since July 2004","Direct Class B 28.4%; incl. voting proxy Class A 36.1% plus Class B 57.1%","Direct 28.2%; incl. voting proxy 56.9% before IPO","Class B has 10 votes/share; voting agreements/proxies give Zuckerberg voting control over other shares","Controlled company; elected controlled-company exemption","Fallback first public filing shows Zuckerberg voting control via direct holdings plus voting agreements/proxies.","s1_itemother_principal_selling_stockholders;s1_itemother_management","9504a861d72fccdb;9f24be4718da62f6;d6dc128db8b9b15e","Total including proxy: 1,072,134,441 Class B shares and 56.9% voting power.","medium","First-public-filing fallback because Facebook was private at 2006 anchor; S-1 contains IPO blanks in some after-offering fields."
"Tesla, Inc.","TSLA","0001318605","2026","DEF 14A","2025-09-17","0001104659-25-090866","packs/0001318605/0001104659-25-090866/sections/unknown_01.md","Elon Musk","Technoking of Tesla and Chief Executive Officer","Director; not board chair in this filing","717,323,438 shares / 19.8%","19.8% assuming one-share-one-vote common stock in table","Single class common stock; no dual-class mechanism found in selected evidence","Not disclosed as controlled company in selected evidence","Musk is largest shareholder/founder CEO but below majority ownership/voting power in the reported table.","unknown_01","c2433bd16f1aca79;d568f384fb20e3a3;79e6ae777978360d","Musk holds 717,323,438 shares / 19.8%; filing identifies founder CEO and largest shareholder.","high","2026 anchor uses selected 2025 DEF 14A pack filed 2025-09-17."
"Tesla, Inc.","TSLA","0001318605","2016","DEF 14A","2016-04-15","0001193125-16-543341","packs/0001318605/0001193125-16-543341/sections/def14a_itemother_ownership_of_securities.md","Elon Musk","Chief Executive Officer","Chairman of the Board","37,193,974 shares / 26.5%","26.5% assuming one-share-one-vote common stock in table","Single class common stock; no dual-class mechanism found in selected evidence","Not disclosed as controlled company in selected evidence","Musk was CEO/Chairman and largest stockholder, but reported ownership was below majority.","def14a_itemother_ownership_of_securities;def14a_itemother_proposal_one","b7cbae22e403c692;596a1ffac33ac81b","Musk holds 37,193,974 shares / 26.5%; filing identifies CEO and Chairman.","high",""
"Tesla, Inc.","TSLA","0001318605","2006","S-1","2010-01-29","0001193125-10-017054","packs/0001318605/0001193125-10-017054/sections/s1_itemother_principal_selling_stockholders.md","Elon Musk","Chief Executive Officer and Product Architect","Chairman of the board","At least 84,004,243 shares from footnote: 81,067,755 trust shares plus 2,936,488 exercisable options","Not reliably extractable; table percentage fields are blank/omitted","Single class common stock; no dual-class mechanism found in selected evidence","Not disclosed as controlled company in selected evidence","Fallback first public filing supports Musk as CEO/Chairman and major holder, but table formatting/preliminary blanks prevent reliable voting pct extraction.","s1_itemother_principal_selling_stockholders;s1_itemother_management","3b113ae97ca93fb9;6249dca855cb34f2;a0f6cdea67130625","Footnote lists 81,067,755 trust shares plus 2,936,488 exercisable options.","medium","First-public-filing fallback because Tesla was private at 2006 anchor; ownership table formatting/preliminary blanks limit percentage confidence."
